task,setting_vs_static,seed,paired_question_count,win,loss,tie,accuracy_delta,mcnemar_exact_p,bootstrap_95_ci_low,bootstrap_95_ci_high
disambiguation_qa,shared_vote_pareto_tcs_boundary_selector,42,60,8,2,50,0.1,0.109375,0.0,0.2
disambiguation_qa,shared_vote_pareto_tcs_boundary_selector,43,60,7,3,50,0.06666666666666667,0.34375,-0.03333333333333333,0.16666666666666666
disambiguation_qa,shared_vote_pareto_tcs_boundary_selector,pooled,120,15,5,100,0.08333333333333333,0.04138946533203125,0.016666666666666666,0.15833333333333333
disambiguation_qa,shared_vote_error_pareto_tcs,42,60,0,4,56,-0.06666666666666667,0.125,-0.13333333333333333,-0.016666666666666666
disambiguation_qa,shared_vote_error_pareto_tcs,43,60,7,0,53,0.11666666666666667,0.015625,0.05,0.2
disambiguation_qa,shared_vote_error_pareto_tcs,pooled,120,7,4,109,0.025,0.548828125,-0.025,0.08333333333333333
disambiguation_qa,shared_vote_error_pareto_tcs_residual_specialization,42,60,1,2,57,-0.016666666666666666,1.0,-0.08333333333333333,0.03333333333333333
disambiguation_qa,shared_vote_error_pareto_tcs_residual_specialization,43,60,6,0,54,0.1,0.03125,0.03333333333333333,0.18333333333333332
disambiguation_qa,shared_vote_error_pareto_tcs_residual_specialization,pooled,120,7,2,111,0.041666666666666664,0.1796875,-0.008333333333333333,0.09166666666666666
disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,60,4,2,54,0.03333333333333333,0.6875,-0.05,0.11666666666666667
disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,43,60,8,1,51,0.11666666666666667,0.0390625,0.03333333333333333,0.21666666666666667
disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,pooled,120,12,3,105,0.075,0.03515625,0.016666666666666666,0.14166666666666666
sports_understanding,shared_vote_pareto_tcs_boundary_selector,42,60,1,3,56,-0.03333333333333333,0.625,-0.1,0.03333333333333333
sports_understanding,shared_vote_pareto_tcs_boundary_selector,43,60,3,3,54,0,1.0,-0.08333333333333333,0.08333333333333333
sports_understanding,shared_vote_pareto_tcs_boundary_selector,pooled,120,4,6,110,-0.016666666666666666,0.75390625,-0.06666666666666667,0.03333333333333333
sports_understanding,shared_vote_error_pareto_tcs,42,60,0,2,58,-0.03333333333333333,0.5,-0.08333333333333333,0.0
sports_understanding,shared_vote_error_pareto_tcs,43,60,5,2,53,0.05,0.453125,-0.03333333333333333,0.13333333333333333
sports_understanding,shared_vote_error_pareto_tcs,pooled,120,5,4,111,0.008333333333333333,1.0,-0.041666666666666664,0.058333333333333334
sports_understanding,shared_vote_error_pareto_tcs_residual_specialization,42,60,0,3,57,-0.05,0.25,-0.11666666666666667,0.0
sports_understanding,shared_vote_error_pareto_tcs_residual_specialization,43,60,3,4,53,-0.016666666666666666,1.0,-0.1,0.06666666666666667
sports_understanding,shared_vote_error_pareto_tcs_residual_specialization,pooled,120,3,7,110,-0.03333333333333333,0.34375,-0.08333333333333333,0.016666666666666666
sports_understanding,shared_vote_error_pareto_tcs_residual_cycle_guard,42,60,2,3,55,-0.016666666666666666,1.0,-0.1,0.05
sports_understanding,shared_vote_error_pareto_tcs_residual_cycle_guard,43,60,3,2,55,0.016666666666666666,1.0,-0.05,0.08333333333333333
sports_understanding,shared_vote_error_pareto_tcs_residual_cycle_guard,pooled,120,5,5,110,0,1.0,-0.05,0.05
